,Titles,Text,isFake
43,"
GOP rising star urges abortion advocate name ‘favorite’ method in hearing clash
",gop rise star urg abort advoc name favorit method hear clash,0
44,"
Two player props for the matinee between Phillies and Giants in Game 2 of the series
",two player prop matine philli giant game seri,1
45,"
Bill would allow Social Security recipients to work, keep all benefits
",bill would allow social secur recipi work keep benefit,1
46,"
Fade Yankees rookie Elmer Rodriguez makes MLB debut as New York eyes Texas sweep
",fade yanke rooki elmer rodriguez make mlb debut new york eye texa sweep,0
47,"
Former Vikings star breaks silence on FBI raids targeting alleged Somali fraudsters in Minnesota
",former vike star break silenc fbi raid target alleg somali fraudster minnesota,1
48,"
PGA Tour pros shrug off giant gold Trump statue at Doral with perfect responses
",pga tour pro shrug giant gold trump statu doral perfect respons,1
49,"
5 states with some of the most snake-filled waters in the nation may shock you
",state snake fill water nation may shock,1
50,"
Sports, Trump, oil and global trends: Predict the headlines before they happen
",sport trump oil global trend predict headlin happen,1
52,"
Family killed by trucker with fake papers sparks massive call to action from senator
",famili kill trucker fake paper spark massiv call action senat,0
53,"
Illinois Democratic governor bucks teachers union over classroom ban on phones
",illinoi democrat governor buck teacher union classroom ban phone,0
54,"
DNC chair squirms as liberal podcaster grills him over buried 2024 autopsy report
",dnc chair squirm liber podcast grill buri autopsi report,1
55,"
Multiple shooters target building where families gathered with Seattle's mayor
",multipl shooter target build famili gather seattl mayor,0
56,"
College hoops coach finally owns up to sex with player who was booted from team: filing
",colleg hoop coach final own sex player boot team file,1
57,"
Heather Locklear and Lorenzo Lamas go public 43 years after sizzling Playgirl shoot
",heather locklear lorenzo lama go public year sizzl playgirl shoot,1
58,"
CEO breaks down 'keep it simple' approach to building a winning ETF portfolio
",ceo break keep simpl approach build win etf portfolio,1
59,"
Musk lawyer claims OpenAI CEO ‘stole a charity’ in new courtroom clash
",musk lawyer claim openai ceo stole chariti new courtroom clash,0
60,"
KITCHEN CABINET: Delicious recipes, surprising power foods & juicy secrets to eating better
",kitchen cabinet delici recip surpris power food juici secret eat better,1
61,"
VACATION MODE: Discover your next getaway, travel hacks & expert recommendations
",vacat mode discov next getaway travel hack expert recommend,0
62,"
A 1507 world map was the first to print the name America on the New World
",world map first print name america new world,1
63,"
PICTURE OF HEALTH: Doctors on call for you, tips to staying fit & key warning signs
",pictur health doctor call tip stay fit key warn sign,0
71,Kentucky basketball fans are melting down after losing top recruit to Kansas,kentucki basketbal fan melt lose top recruit kansa,1
72,Jordon Hudson wants in on the Mike Vrabel and Dianna Russini drama,jordon hudson want mike vrabel dianna russini drama,1
73,Phillies fire Rob Thompson and turn to Don Mattingly as new manager after dismal 10-19 start to season,philli fire rob thompson turn mattingli new manag dismal start season,1
74,Brutal CrossFit workout honoring fallen Marine draws thousands of participants across the country,brutal crossfit workout honor fallen marin draw thousand particip across countri,1
75,"Chicago’s South Side is drowning in excuses, dependency and decay",chicago south side drown excus depend decay,0
76,"Will socialism save Seattle? City advocates struggle to find solutions as homeless, drug addicts flood streets",social save seattl citi advoc struggl find solut homeless drug addict flood street,0
77,"David Cross doesn’t 'give a f---’: The actor-comedian on his new special, social media and ‘terrifying’ AI",david cross give f actor comedian new special social media terrifi ai,1
78,The Chicago Bulls did not cut conduct. They cut conviction and conscience,chicago bull cut conduct cut convict conscienc,0
79,"Safe sex is about to get more expensive, world’s largest condom maker warns",safe sex get expens world largest condom maker warn,1
80,Hormuz crisis spurs $24B Iraq trade corridor as Gulf routes shift,hormuz crisi spur iraq trade corridor gulf rout shift,0
81,DOJ charges 2 Chinese nationals who allegedly ran overseas cryptocurrency scam center targeting Americans,doj charg chines nation allegedli ran oversea cryptocurr scam center target american,1
82,Trucking company owner suing state over 'millionaires tax' says policy hits small businesses,truck compani owner su state millionair tax say polici hit small busi,0
83,"FBI says it knows how shooting suspect slipped through Trump event security, shares when info will be released",fbi say know shoot suspect slip trump event secur share info releas,0
84,Jim Jordan blames left-wing rhetoric after armed assailant disrupts WHCA Dinner,jim jordan blame left wing rhetor arm assail disrupt whca dinner,0
85,Correspondents’ Dinner entertainer Oz Pearlman recalls ‘surreal’ moments during and after shooting,correspond dinner entertain oz pearlman recal surreal moment shoot,0
86,"WHCD shooting shows Dems are 'playing' with Americans' safety by withholding DHS funding, GOP lawmaker says",whcd shoot show dem play american safeti withhold dh fund gop lawmak say,1
87,Trump's agenda on razor's edge as GOP divisions block legislative path in House,trump agenda razor edg gop divis block legisl path hous,1
88,Supreme Court rules on key Voting Rights Act rule as Republicans and Democrats wage redistricting war,suprem court rule key vote right act rule republican democrat wage redistrict war,1
89,Powell could remain at the Fed despite looming end of chair term,powel could remain fed despit loom end chair term,0
90,GOP frontrunner in key gubernatorial race forced to answer about hiring illegal immigrants: 'I don't know',gop frontrunn key gubernatori race forc answer hire illeg immigr know,1
91,Amtrak data breach exposes millions of customer records,amtrak data breach expos million custom record,1
92,"JONATHAN TURLEY: Comey’s shell post may be crass, but charging him is a free speech trap",jonathan turley comey shell post may crass charg free speech trap,0
93,"Costco employee shot, killed after confronting shopper carrying gun with drum magazine",costco employe shot kill confront shopper carri gun drum magazin,1
94,Legal experts warn Comey ‘86 47’ indictment faces First Amendment hurdles,legal expert warn comey indict face first amend hurdl,0
95,"Leaked audio shocker: UK envoy says US ‘special relationship’ not with Britain, but another ally",leak audio shocker uk envoy say us special relationship britain anoth alli,1
96,2 Jewish men stabbed in London attack classified as terrorism,jewish men stab london attack classifi terror,1
97,"Court sentences former world leader to 7 years in prison for resisting arrest, other charges",court sentenc former world leader year prison resist arrest charg,0
98,Record antisemitic incidents in Canada fuel criticism of Carney government response,record antisemit incid canada fuel critic carney govern respons,0
99,King Charles tries to heal the rift between US and UK with 5 powerful points,king charl tri heal rift us uk power point,0
100,Close the backdoor drug pipeline that’s emboldening enemies and harming the public,close backdoor drug pipelin embolden enemi harm public,0
101,"MIKE EVANS: 'Uncle Trump' and Bibi, modern-day watchmen in global fight against antisemitism",mike evan uncl trump bibi modern day watchmen global fight antisemit,1
102,Iran sent my husband’s kidnapper to negotiate with America. Trump should make them pay,iran sent husband kidnapp negoti america trump make pay,1
103,Damon Wayans reveals the scary symptom that led to his type 2 diabetes diagnosis,damon wayan reveal scari symptom led type diabet diagnosi,1
104,"Dementia risk rises with common food type millions eat every day, study suggests",dementia risk rise common food type million eat everi day studi suggest,1
105,"Heart attacks and strokes rising with extreme weather events, research suggests",heart attack stroke rise extrem weather event research suggest,1
106,Pancreatic cancer patient Ben Sasse sees 'massive' tumor reduction with experimental new drug,pancreat cancer patient ben sass see massiv tumor reduct experiment new drug,1
107,Father of slain student Sheridan Gorman calls death a 'failure' after illegal immigrant's not guilty plea,father slain student sheridan gorman call death failur illeg immigr guilti plea,0
108,High school sweethearts' marriage ends in gruesome murder-suicide less than 2 years after wedding: police,high school sweetheart marriag end gruesom murder suicid less year wed polic,1
109,2 Jewish men stabbed in London attack classified as terrorism,jewish men stab london attack classifi terror,1
110,Scott Peterson's defense loses bid to introduce witness testimony in long-running fight to overturn conviction,scott peterson defens lose bid introduc wit testimoni long run fight overturn convict,0
111,"America must choose between faith, order and a culture of lawlessness",america must choos faith order cultur lawless,1
112,I went to the Masters and witnessed something amazing that had nothing to do with golf,went master wit someth amaz noth golf,1
113,Stop trusting political parties to save urban America. It's time for us to rise and rebuild,stop trust polit parti save urban america time us rise rebuild,1
114,DAVID MARCUS: Patriotic Team USA wins gold as anti-America whiners flop,david marcu patriot team usa win gold anti america whiner flop,1
115,Brutal CrossFit workout honoring fallen Marine draws thousands of participants across the country,brutal crossfit workout honor fallen marin draw thousand particip across countri,1
116,Pentagon urges Congress to codify 'Department of War' name change it estimates will cost $52 million,pentagon urg congress codifi depart war name chang estim cost million,0
117,"Kid Rock, Hegseth take Apache helicopter ride near Washington",kid rock hegseth take apach helicopt ride near washington,1
118,Nearly $870K in chemical spraying drones stolen from NJ company in 'nightmare scenario' heist: report,nearli chemic spray drone stolen nj compani nightmar scenario heist report,1
119,Lisa Kudrow exposes the dark side of 'Friends' set with troubling writer room claims,lisa kudrow expos dark side friend set troubl writer room claim,1
120,Roseanne Barr hasn’t spoken to TV sister Laurie Metcalf since show’s cancellation,roseann barr spoken tv sister lauri metcalf sinc show cancel,0
121,Gavin Adcock takes aim at Zach Bryan in brutal call-out,gavin adcock take aim zach bryan brutal call,0
122,Lorenzo Lamas finds happiness with Heather Locklear after years of 'trial and error',lorenzo lama find happi heather locklear year trial error,0
123,Reds fans go berserk after catcher Tyler Stephenson's ABS challenge wins them free pizza,red fan go berserk catcher tyler stephenson ab challeng win free pizza,1
124,Yankees reliever Fernando Cruz makes dazzling sliding play on bunt in win vs Rangers,yanke reliev fernando cruz make dazzl slide play bunt win vs ranger,1
125,"2025-26 NBA Playoff Odds: Spreads, Lines for First-Round Series",nba playoff odd spread line first round seri,0
126,Pro wrestling champ Steph De Lander shares advice for recent wrestlers who departed WWE,pro wrestl champ steph de lander share advic recent wrestler depart wwe,0
127,Father of slain student Sheridan Gorman calls death a 'failure' after illegal immigrant's not guilty plea,father slain student sheridan gorman call death failur illeg immigr guilti plea,0
128,Feds hunt mystery drone thieves who swiped 15 sprayers that Army warned could be weaponized,fed hunt mysteri drone thiev swipe sprayer armi warn could weapon,0
129,High school sweethearts' marriage ends in gruesome murder-suicide less than 2 years after wedding: police,high school sweetheart marriag end gruesom murder suicid less year wed polic,1
130,Scott Peterson's defense loses bid to introduce witness testimony in long-running fight to overturn conviction,scott peterson defens lose bid introduc wit testimoni long run fight overturn convict,0
131,Panic at popular theme park as stranded riders scramble to escape broken roller coaster,panic popular theme park strand rider scrambl escap broken roller coaster,1
132,"Fox News' Steve Doocy travels Route 66, uncovers the stories that built America over a century",fox news steve dooci travel rout uncov stori built america centuri,1
133,Jonah Hill abandoned Los Angeles to raise growing family in ‘very small town’,jonah hill abandon lo angel rais grow famili small town,0
134,Jason Aldean says he and wife Brittany ‘agree to disagree’ after 11 years of marriage as they team up for duet,jason aldean say wife brittani agre disagre year marriag team duet,0
135,"Nearly half of Gen X workers are delaying retirement as rising costs, stagnant wages drain savings",nearli half gen x worker delay retir rise cost stagnant wage drain save,1
136,Californians who move away are typically saving hundreds a month on housing costs,californian move away typic save hundr month hous cost,0
137,Here's what happens when you dispute a credit card charge,happen disput credit card charg,0
138,ETFs vs mutual funds in 2026: Which is right for your portfolio?,etf vs mutual fund right portfolio,0
139,Amtrak data breach exposes millions of customer records,amtrak data breach expos million custom record,1
140,Waymo teams up with Waze to spot potholes faster,waymo team waze spot pothol faster,1
141,Maryland moves to ban surveillance pricing in grocery stores,maryland move ban surveil price groceri store,0
143,Goldie Hawn credits ‘freedom’ for keeping 43-year relationship with Kurt Russell strong,goldi hawn credit freedom keep year relationship kurt russel strong,0
144,"Credit where credit is due, Anne Hathaway and Dakota Johnson making out in new movie teaser is smart marketing",credit credit due ann hathaway dakota johnson make new movi teaser smart market,1
145,'Menace II Society' star Samuel Monroe Jr. on life support after meningitis went untreated for months,menac ii societi star samuel monro jr life support mening went untreat month,1
146,Jewel says off-grid Alaska upbringing without electricity or running water kept her grounded,jewel say grid alaska upbring without electr run water kept ground,1
147,Gas prices soar to highest point so far during unsettled conflict with Iran,ga price soar highest point far unsettl conflict iran,0
148,Maine joins blue-state millionaire tax club as critics warn the new surcharge punishes local economy,main join blue state millionair tax club critic warn new surcharg punish local economi,0
149,California high-speed rail project soars to $231B: 'Worst public infrastructure failure in US history',california high speed rail project soar worst public infrastructur failur us histori,1
150,Kevin Warsh moves one step closer to becoming next Fed chair,kevin warsh move one step closer becom next fed chair,1
151,"Vermont pays $566K in damages, legal fees to Christian school it banned from all sports competitions for years",vermont pay damag legal fee christian school ban sport competit year,1
152,"Chicago’s South Side is drowning in excuses, dependency and decay",chicago south side drown excus depend decay,0
153,Pastor known for marriage advice arrested at rumored swingers community accused of having multiple wives,pastor known marriag advic arrest rumor swinger commun accus multipl wive,1
154,TNA wrestling star Xia Brookside gets baptized: 'A new chapter',tna wrestl star xia brooksid get baptiz new chapter,0
155,"New warrants expose chilling, disturbing details in Greg Biffle home burglary",new warrant expos chill disturb detail greg biffl home burglari,1
156,Waymo teams up with Waze to spot potholes faster,waymo team waze spot pothol faster,1
157,Stephen A Smith escalates feud with NASCAR with insufferable two-word suggestion,stephen smith escal feud nascar insuffer two word suggest,1
158,IndyCar driver Romain Grosjean gives stomach-churning details about hitting a bird during Indy 500 test,indycar driver romain grosjean give stomach churn detail hit bird indi test,1
159,Amtrak data breach exposes millions of customer records,amtrak data breach expos million custom record,1
160,Panic at popular theme park as stranded riders scramble to escape broken roller coaster,panic popular theme park strand rider scrambl escap broken roller coaster,1
161,Beautiful destination forced to impose penalties to stop aggressive street tactics,beauti destin forc impos penalti stop aggress street tactic,1
162,Long-lost warship destroyed by iconic naval commander discovered centuries later: 'Quite remarkable',long lost warship destroy icon naval command discov centuri later quit remark,0
163,"Taylor Swift fires back at critics, says backlash was ‘huge fuel’ for her biggest hits",taylor swift fire back critic say backlash huge fuel biggest hit,0
164,Suspect pleads guilty to plotting Taylor Swift Vienna concert attack,suspect plead guilti plot taylor swift vienna concert attack,0
165,Zach Bryan fires back at enraged fans over shortened concert with three-word response,zach bryan fire back enrag fan shorten concert three word respons,1
166,'The Voice' contestant Dylan Carter dead at 24,voic contest dylan carter dead,0
167,"Your brain may be tricking you into liking artificial sweeteners, study finds",brain may trick like artifici sweeten studi find,1
168,"Watching videos of burgers and cake could help dieters resist cravings, study suggests",watch video burger cake could help dieter resist crave studi suggest,1
169,Coffee expert warns one lazy habit can turn your single-serve machine into a germ trap,coffe expert warn one lazi habit turn singl serv machin germ trap,1
170,Panera workers slam new menu item as 'huge waste' as customers question value,panera worker slam new menu item huge wast custom question valu,1
171,"State of disaster, curfew declared after tornado tears through Texas town leaving behind a path of destruction",state disast curfew declar tornado tear texa town leav behind path destruct,0
172,"Intensifying storm system to soak Northeast, bringing flash flood and severe weather risks",intensifi storm system soak northeast bring flash flood sever weather risk,0
173,"Much-needed rain targets the South, yet worst drought zones will miss out",much need rain target south yet worst drought zone miss,1
174,Millions across Northeast and Mid-Atlantic expected to see unseasonable temperatures through the start of May,million across northeast mid atlant expect see unseason temperatur start may,0
175,"Fox News At Night - Tuesday, April 28",fox news night tuesday april,0
178,"Jesse Watters Primetime - Tuesday, April 28",jess watter primetim tuesday april,0
179,"2 trains collide in Denmark, leaving 5 people critically injured",train collid denmark leav peopl critic injur,0
180,NASA's Artemis follow-up mission 'right around the corner' after successful lunar flight,nasa artemi follow mission right around corner success lunar flight,0
181,"Three Dog Night's Chuck Negron, voice behind 'Joy to the World,' dead at 83",three dog night chuck negron voic behind joy world dead,1
182,Man who claims he took iconic 'Napalm Girl' photo speaks out as AP stands by photographer credited for decades,man claim took icon napalm girl photo speak ap stand photograph credit decad,1
183,Dan Bongino reveals he found 'mother lode' of secret Russiagate files inside FBI burn bags,dan bongino reveal found mother lode secret russiag file insid fbi burn bag,1
184,EPA chief Lee Zeldin doubles down after fiery exchange with Rep DeLauro over landmark SCOTUS cases,epa chief lee zeldin doubl fieri exchang rep delauro landmark scotu case,0
185,"Kimmel seizes on Trump's old age joke during meeting with King Charles, jokes he 'should be fired for that'",kimmel seiz trump old age joke meet king charl joke fire,1
186,JD Vance recounts being rushed from WHCA Dinner after suspected gunman breached security,jd vanc recount rush whca dinner suspect gunman breach secur,0
187,2 Jewish men stabbed in London attack classified as terrorism,jewish men stab london attack classifi terror,1
188,"MIKE EVANS: 'Uncle Trump' and Bibi, modern-day watchmen in global fight against antisemitism",mike evan uncl trump bibi modern day watchmen global fight antisemit,1
189,Record antisemitic incidents in Canada fuel criticism of Carney government response,record antisemit incid canada fuel critic carney govern respons,0
190,UC regent slams Berkeley event featuring failed suicide bomber as ‘disgusting and abhorrent’,uc regent slam berkeley event featur fail suicid bomber disgust abhorr,1
191,Father of slain student Sheridan Gorman calls death a 'failure' after illegal immigrant's not guilty plea,father slain student sheridan gorman call death failur illeg immigr guilti plea,0
192,"Woman exposed running visa fraud scheme spanning years, posing as immigration officer",woman expos run visa fraud scheme span year pose immigr offic,1
193,"Senator demands probe after truck driver who allegedly fraudulently obtained license, citizenship kills family",senat demand probe truck driver allegedli fraudul obtain licens citizenship kill famili,1
194,GOP frontrunner in key gubernatorial race forced to answer about hiring illegal immigrants: 'I don't know',gop frontrunn key gubernatori race forc answer hire illeg immigr know,1
195,TOMI LAHREN Calls Some Podcasters ‘Disingenuous’,tomi lahren call podcast disingenu,0
197,Gaudreau Brothers Case Update: The Blood Test Controversy,gaudreau brother case updat blood test controversi,0
198,Nick Reiner Set For Preliminary Hearing,nick reiner set preliminari hear,0
