,Title,Title_cleaned,Car_type,Site
64,ВАЗ 21074 2004 ГБО,ваз гбо,1,Olx
65,Chrysler 300C 2007,chrysler,1,Olx
66,Mercedes-Benz W211 E-Class 2007 рестайлінг.,mercedes benz e class рестайлінг,1,Olx
67,ниссан максима а34,нісан максим,1,Olx
68,"Продам W210,2001 рік""2.2 CDI""СРОЧНО",продати рік cdi терміновий,1,Olx
69,Mitsubishi Lancer IX 2008 год на автомате!!,mitsubishi lancer ix автомат,1,Olx
70,Ford Mondeo 1.8 газ бензин,ford mondeo газ бензин,1,Olx
71,Tesla Model 3 Long Range Dual Motor,tesla model long range dual motor,1,Olx
72,Ланос 2009 год кондер Гур,ланос кондер гур,1,Olx
73,Audi 100 C3 Сигара,audi сигар,1,Olx
74,Subaru Legacy 2015г,subaru legacy,1,Olx
75,Daewoo Lanos 1.5 гбо 4 покоління,daewoo lanos гбо покоління,1,Olx
76,Opel Omega B 2.5at,opel omega b,1,Olx
77,Audi A6 C6  2.4 мкпп,audi мкпп,1,Olx
78,"Mazda 3, 2,5 бензин, 2018 р, автомат, пробіг 67000 км",mazda бензин р автомат пробігти км,1,Olx
79,Автомобіль Ford Fusion Hybrid 2017 року з США,автомобіль ford fusion hybrid рік сша,1,Olx
80,Volkswagen Phaeton Long,volkswagen phaeton long,1,Olx
81,Hyndai Elantra 2022 Limited Hybrid,hyndai elantra limited hybrid,1,Olx
82,Шевроле Авео Т-250 1.6v16,шевроле авео т,1,Olx
83,Део Ланос 1.5 газ бензин,део ланос газ бензин,1,Olx
84,"Опель вектра C, 2.2 tdi  з Європи",опель вектор c tdi європа,1,Olx
85,Продам авто Волга 31105 с малым пробегом,продати авто волга мале пробіг,1,Olx
86,Авто під виплату/в розстрочку. Гарні умови,авто виплата розстрочка гарний умова,1,Olx
87,ниссан максима а34,нісан максим,1,Olx
88,"Nissam Maxima 3,5",nissam maxima,1,Olx
89,"BMW E39 Рест, Дизель 3 літри, автомат",bmw рест дизель літри автомат,1,Olx
90,Продам хонду акорд 5. 2.0 бензин автомат,продати хонд акорд бензин автомат,1,Olx
91,BMW E39 2.5 дизель,bmw дизель,1,Olx
92,Продам ВАЗ в отличном состояние.пишите дам номер касу интиресно.машина супер,продати ваз відмінний стан писати дам номер каса интиресно машина супер,1,Olx
93,Skoda Superb 1.9 TDI,skoda superb tdi,1,Olx
94,Продам ВАЗ 217030,продати ваз,1,Olx
95,Продам Renault Clio на газу,продати renault clio газ,1,Olx
96,"Продам  2110,2012 г,в 1,6 8 кл Бензин",продати р кл бензин,1,Olx
97,Volvo S80 TT 2.9 automat 12-13л. в місті,volvo tt місто,1,Olx
98,Ваз 21063 на газу гарний стан,ваз газ гарний стан,1,Olx
99,Ваз 2109 в идеальном состоянии!!!,ваз ідеальний стан,1,Olx
100,BMW E34 M50B25 2.5,bmw,1,Olx
101,"Renault Logan - 1,2 газ-бензин  !",renault logan газ бензин,1,Olx
102,Bmw E38 4.4 МКПП 6-ти ступка,bmw мкпп ти ступка,1,Olx
103,Chevrolet AVEO T250,chevrolet aveo,1,Olx
104,Renault Trafik ОРИГІНАЛЬНИЙ! ПАСАЖИР 9 Місць 2.5 Найкращий Двигун!,renault trafik оригінальний пасажир місць найкращий двигун,2,Olx
105,Volkswagen T4 Оригінал Caravelle SYNCRO (4x4),volkswagen оригінал caravelle syncro,2,Olx
106,Mitsubishi grandis 2.0 дізель в Киеві,mitsubishi grandis дизель київ,2,Olx
107,Mercedes Sprinter 315 8+1,mercedes sprinter,2,Olx
108,"Volkswagen Transporter 2,5 дизель",volkswagen transporter дизель,2,Olx
109,Продам Cetroen Jumpy,продати cetroen jumpy,2,Olx
110,"Фольксваген туран 1.9 tdi свіжо пригнаний, дуже хороший стан",фольксваген туран tdi свіжо пригнаний дуже гарний стан,2,Olx
111,Продам opel zafira двухлитровый турбодизель,продати opel zafira дволітровий турбодизель,2,Olx
112,Fort Tourneo Custom 2018,fort tourneo custom,2,Olx
113,"Опель Зафіра 2010, другий власник",опель зафіра власник,2,Olx
114,Продам чудовий сімейний авто,продати чудовий сімейний авто,2,Olx
115,Volkswagen Touran 1.9 дізель 6-сті ступка,volkswagen touran дизель сто ступка,2,Olx
116,"Mercedes Vito 2,3 дизель",mercedes vito дизель,2,Olx
117,"Продам рено сценик 3, симейний экономний с хорошим комплектаций, машина очень отличный состояние!",продати рено сценік сімейний економний гарний комплектація машина дуже відмінний стан,2,Olx
118,Opel Zafira 2.0 дизель 2001 рік Механіка Гарний Мінівен,opel zafira дизель рік механіка гарний мінівен,2,Olx
119,Opel Zafira 1.9 диз 6 ст 7 місць,opel zafira ст місце,2,Olx
120,Минивен бус Peugeot Expert,мінівен бус peugeot expert,2,Olx
121,Mitsubishi Padjero 3.2 D Харьков!!!,mitsubishi padjero d харків,2,Olx
122,Продам Renault Scenic,продати renault scenic,2,Olx
123,Fiat Doblo Maxi 2011 1.6 diezel,fiat doblo maxi delel,2,Olx
124,Fiat Doblo 1.9 дизель 7 місць,fiat doblo дизель місце,2,Olx
125,Продам  авто тауран,продати авто тауран,2,Olx
126,Renault Kangoo !!!ОРИГІНАЛЬНИЙ ПАСАЖИР!!!,renault kangoo оригінальний пасажир,2,Olx
127,Продам Рено Сценік 1.6MPi на автоматі в ідеальному стані,продати рено сценік автомат ідеальний стан,2,Olx
128,‼️VW TOURAN‼️тільки пригнаний‼️вже в Києві‼️не розмитнений,vw touran пригнання вже київ розмитнення,2,Olx
129,Продам Хонду FR-V 2.2 Дизель,продати хонд fr v дизель,2,Olx
130,Mitsubishi Padjero 3.2 D Харьков!!!,mitsubishi padjero d харків,2,Olx
131,Продам Рено Сценік 1.6MPi на автоматі в ідеальному стані,продати рено сценік автомат ідеальний стан,2,Olx
132,Ford C-Max 2012 на автоматі,ford c max автомат,2,Olx
133,Renault Kangoo 4x4 !!!ОРИГІНАЛЬНИЙ ПАСАЖИР!!!,renault kangoo оригінальний пасажир,2,Olx
134,"Nissan Note E11 1,5 Dci",nissan note dci,2,Olx
135,продам вито пассаж кпп 6ти ст без влож,продити вито пасаж кпп ст вклад,2,Olx
136,Продам TOYOTA PREVIA - HYBRID/4WD! Состояние нового автомобиля!,продам toyota previa hybrid стан новий автомобіль,2,Olx
137,Продається Volkswagen Touran TREND Line Фольксваген Туран фольцваген тауран кадди,продаватися volkswagen touran trend line фольксваген туран фольцваген тауран кадді,2,Olx
138,Продам Фольцваген,продати фольцваген,2,Olx
139,Продам мерседес віто,продати мерседес віто,2,Olx
140,Продам рено ксенік 2 бензин 1.6 коробка автомат авто в доброму стані.,продати рено ксенік бензин коробка автомат авто добрий стан,2,Olx
141,Віто Mercedes Vito  111 2006 рік груз-пас 5 місний,віто mercedes vito рік вант пас місний,2,Olx
142,Peugeot Expert продаж обмін,peugeot expert продаж обмін,2,Olx
143,Продам Renault scenik 4,продати renault scenik,2,Olx
144,Ssangyong rodius 2.0 td 2013,ssangyong rodius td,2,Olx
145,Renault Grand Scenic 2011,renault grand scenic,2,Olx
146,Renault Trafik ОРИГІНАЛЬНИЙ! ПАСАЖИР 9 Місць 2.5 Найкращий Двигун!,renault trafik оригінальний пасажир місць найкращий двигун,2,Olx
147,"Renault Kangoo 2003 рік, 1.5 дизель,к9к механіка (пасажир)",renault kangoo рік дизель механіка пасажир,2,Olx
148,Терміновий продаж Volkswagen Crafter 2016. Для ЗСУ/ УБД / Волонтерів ще знижка. Грузопассажий 9 місць,терміновий продаж volkswagen crafter зсу убд волонтер ще скидка вантажопасаж місце,2,Olx
149,Hyundai Grand Starex,hyundai grand starex,2,Olx
150,Renaut Trafik 2012,renaut trafik,2,Olx
151,‼️Тільки з НІМЕЧЧИНИ‼️АВТОМАТ‼️VW ТАУРАН  не розмитнений в Киеві,німеччина автомат vw таура розмитнення київ,2,Olx
152,Продам Черрі QQ  ₴₴,продати черрі qq,2,Olx
153,‼️СУПЕР СТАН‼️Форд Гелекси 2008рік 2.0тді 7місць не розмитнений  вже в Києві,супер стан форд гелекси розмитнення вже київ,2,Olx
154,Ford Transit Connect  1.8D 2010 р,ford transit connect р,2,Olx
155, Hyundai Venue 2021,hyundai venue,0,AutoRIA
156, Hyundai Santa FE 2009,hyundai santa fe,0,AutoRIA
157, Hyundai Tucson 2019,hyundai tucson,0,AutoRIA
158, Haval Dargo 2022,haval dargo,0,AutoRIA
159, Tesla Model Y 2021,tesla model y,0,AutoRIA
160,Новий Opel Frontera 2026,новий opel frontera,0,AutoRIA
161, Audi Q5 2013,audi,0,AutoRIA
162, Audi e-tron 2019,audi e tron,0,AutoRIA
163, Audi e-tron 2020,audi e tron,0,AutoRIA
164, Audi Q5 2018,audi,0,AutoRIA
165, BMW X5 2024,bmw,0,AutoRIA
166, BMW X5 2021,bmw,0,AutoRIA
167, BMW X5 2010,bmw,0,AutoRIA
168,Новий Opel Frontera 2025,новий opel frontera,0,AutoRIA
169, Volkswagen Tiguan 2018,volkswagen tiguan,0,AutoRIA
170,Новий Opel Frontera 2026,новий opel frontera,0,AutoRIA
171, BMW X5 2014,bmw,0,AutoRIA
172, BMW X5 2015,bmw,0,AutoRIA
173,Новий Opel Frontera 2026,новий opel frontera,0,AutoRIA
174, Audi Q7 2016,audi,0,AutoRIA
175,Новий Opel Frontera 2025,новий opel frontera,0,AutoRIA
176, Mercedes-Benz S-Class 2014,mercedes benz s class,1,AutoRIA
177, Mercedes-Benz S-Class 2022,mercedes benz s class,1,AutoRIA
178, Tesla Model 3 2018,tesla model,1,AutoRIA
179, BMW 5 Series 2014,bmw series,1,AutoRIA
180, BMW 5 Series 2010,bmw series,1,AutoRIA
181, BMW 5 Series 2020,bmw series,1,AutoRIA
182, BMW 5 Series 2020,bmw series,1,AutoRIA
183, BMW 5 Series 2013,bmw series,1,AutoRIA
184, Tesla Model 3 2022,tesla model,1,AutoRIA
185, Audi A4 2016,audi,1,AutoRIA
186, Audi A4 2014,audi,1,AutoRIA
187,Новий Honda Civic 2024,новий honda civic,1,AutoRIA
188, Volkswagen Passat 2015,volkswagen passat,1,AutoRIA
189, Audi A4 2022,audi,1,AutoRIA
190, Mazda 6 2020,mazda,1,AutoRIA
191, Audi A6 2016,audi,1,AutoRIA
192, BMW 7 Series 2025,bmw series,1,AutoRIA
193, Audi A6 2013,audi,1,AutoRIA
194, Audi A4 2017,audi,1,AutoRIA
195, Mercedes-Benz E-Class 2018,mercedes benz e class,1,AutoRIA
196, Volkswagen Passat 2015,volkswagen passat,1,AutoRIA
197, Volkswagen Touran 2006,volkswagen touran,2,AutoRIA
198, Volkswagen Caddy 2011,volkswagen caddy,2,AutoRIA
199, Kia Carnival 2021,kia carnival,2,AutoRIA
200, Renault Grand Scenic 2016,renault grand scenic,2,AutoRIA
201, Volkswagen Caddy 2016,volkswagen caddy,2,AutoRIA
202, Renault Grand Scenic 2012,renault grand scenic,2,AutoRIA
203, Mercedes-Benz Vito 2019,mercedes benz vito,2,AutoRIA
204, Renault Grand Scenic 2017,renault grand scenic,2,AutoRIA
205, Renault Trafic 2021,renault trafic,2,AutoRIA
206, Mercedes-Benz Sprinter 2014,mercedes benz sprinter,2,AutoRIA
207, Mercedes-Benz Vito 2012,mercedes benz vito,2,AutoRIA
208, Renault Trafic 2020,renault trafic,2,AutoRIA
209, Renault Grand Scenic 2018,renault grand scenic,2,AutoRIA
210, Toyota Proace City Verso 2025,toyota proace city verso,2,AutoRIA
211, Mercedes-Benz Sprinter 2017,mercedes benz sprinter,2,AutoRIA
212, Renault Trafic 2019,renault trafic,2,AutoRIA
213, Mercedes-Benz Sprinter 2020,mercedes benz sprinter,2,AutoRIA
214, Hyundai H-1 2012,hyundai h,2,AutoRIA
215, Mercedes-Benz Sprinter 2018,mercedes benz sprinter,2,AutoRIA
216, Opel Vivaro 2013,opel vivaro,2,AutoRIA
217, Renault Espace 2016,renault espace,2,AutoRIA
218,"

                Chery Tiggo, 2007 р.в.            
",chery tiggo р в,0,AUTOMOTO
219,"

                Nissan Rogue, 2017 р.в.            
",nissan rogue р в,0,AUTOMOTO
220,"

                Toyota Land Cruiser, 2004 р.в.            
",toyota land cruiser р в,0,AUTOMOTO
221,"

                Nissan X-Trail, 2003 р.в.            
",nissan x trail р в,0,AUTOMOTO
222,"

                        BYD Leopard 7, 2025 р.в.                    
",byd leopard р в,0,AUTOMOTO
223,"

                Kia Sorento, 2013 р.в.            
",kia sorento р в,0,AUTOMOTO
224,"

                Volkswagen Touareg, 2005 р.в.            
",volkswagen touareg р в,0,AUTOMOTO
225,"

                Chery Tiggo 2, 2019 р.в.            
",chery tiggo р в,0,AUTOMOTO
226,"

                        Volvo XC90, 2026 р.в.                    
",volvo р в,0,AUTOMOTO
227,"

                Toyota Land Cruiser, 2004 р.в.            
",toyota land cruiser р в,0,AUTOMOTO
228,"

                Nissan Qashqai, 2010 р.в.            
",nissan qashqai р в,0,AUTOMOTO
229,"

                Audi Q7, 2020 р.в.            
",audi р в,0,AUTOMOTO
230,"

                        Zeekr 8X, 2026 р.в.                    
",zeekr р в,0,AUTOMOTO
231,"

                Hyundai Santa FE, 2019 р.в.            
",hyundai santa fe р в,0,AUTOMOTO
232,"

                Daewoo Lanos, 2008 р.в.            
",daewoo lanos р в,1,AUTOMOTO
233,"

                Mazda 3, 2014 р.в.            
",mazda р в,1,AUTOMOTO
234,"

                Opel Ascona, 1987 р.в.            
",opel ascona р в,1,AUTOMOTO
235,"

                BMW 5 Series, 1990 р.в.            
",bmw series р в,1,AUTOMOTO
236,"

                        Hyundai Sonata, 2024 р.в.                    
",hyundai sonata р в,1,AUTOMOTO
237,"

                Daewoo Lanos, 2005 р.в.            
",daewoo lanos р в,1,AUTOMOTO
238,"

                Citroen C-Elysee, 2013 р.в.            
",citroen c elysee р в,1,AUTOMOTO
239,"

                Ford Focus, 2005 р.в.            
",ford focus р в,1,AUTOMOTO
240,"

                        Renault Taliant, 2025 р.в.                    
",renault taliant р в,1,AUTOMOTO
241,"

                Honda Insight, 2018 р.в.            
",honda insight р в,1,AUTOMOTO
242,"

                BMW 5 Series, 2023 р.в.            
",bmw series р в,1,AUTOMOTO
243,"

                Toyota Camry, 2022 р.в.            
",toyota camry р в,1,AUTOMOTO
244,"

                        Renault Taliant, 2025 р.в.                    
",renault taliant р в,1,AUTOMOTO
245,"

                Toyota Camry, 2019 р.в.            
",toyota camry р в,1,AUTOMOTO
246,"

                Toyota Camry, 2024 р.в.            
",toyota camry р в,1,AUTOMOTO
247,"

                Mercedes-Benz Vito, 2011 р.в.            
",mercedes benz vito р в,2,AUTOMOTO
248,"

                Citroen C4 Picasso, 2011 р.в.            
",citroen picasso р в,2,AUTOMOTO
249,"

                Volkswagen Caddy, 2011 р.в.            
",volkswagen caddy р в,2,AUTOMOTO
250,"

                Volkswagen Sharan, 2002 р.в.            
",volkswagen sharan р в,2,AUTOMOTO
251,"

                        Zeekr 009, 2025 р.в.                    
",zeekr р в,2,AUTOMOTO
252,"

                Kia Carens, 2006 р.в.            
",kia carens р в,2,AUTOMOTO
253,"

                Zeekr 009, 2025 р.в.            
",zeekr р в,2,AUTOMOTO
254,"

                Fiat Doblo, 2021 р.в.            
",fiat doblo р в,2,AUTOMOTO
255,"

                        Citroen Jumpy, 2025 р.в.                    
",citroen jumpy р в,2,AUTOMOTO
256,"

                Mercedes-Benz V-Class, 2025 р.в.            
",mercedes benz v class р в,2,AUTOMOTO
257,"

                Honda Elysion, 2012 р.в.            
",honda elysion р в,2,AUTOMOTO
258,"

                Mercedes-Benz Citan, 2019 р.в.            
",mercedes benz citan р в,2,AUTOMOTO
259,"

                        Renault Express, 2025 р.в.                    
",renault express р в,2,AUTOMOTO
260,"

                Toyota Vellfire, 2011 р.в.            
",toyota vellfire р в,2,AUTOMOTO
261,"

                Honda Elysion, 2011 р.в.            
",honda elysion р в,2,AUTOMOTO
